Date,Close,Trends,Score,Number
2017/9/23,3792.399902,42.0,0.317562027,531
2017/9/24,3682.840088,42.0,0.792335036,508
2017/9/25,3926.070068,48.0,0.650690051,559
2017/9/26,3892.350098,48.0,0.624938156,567
2017/9/27,4200.669922,54.0,0.706883431,684
2017/9/28,4174.72998,48.0,0.578626681,527
2017/9/29,4163.069824,48.0,0.509261851,552
2017/9/30,4338.709961,42.0,0.6615186,469
2017/10/1,4403.740234,42.0,0.731688199,427
2017/10/2,4409.319824,48.0,0.898605897,547
2017/10/3,4317.47998,48.0,0.914609817,437
2017/10/4,4229.359863,42.0,0.813333181,514
2017/10/5,4328.410156,48.0,0.685679255,545
2017/10/6,4370.810059,42.0,0.806561107,747
2017/10/7,4426.890137,42.0,0.986436547,435
2017/10/8,4610.47998,48.0,0.910593568,494
2017/10/9,4772.02002,54.0,0.843861153,527
2017/10/10,4781.990234,60.0,0.415574819,588
2017/10/11,4826.47998,54.0,0.887570203,702
2017/10/12,5446.910156,90.0,0.749828875,475
2017/10/13,5647.209961,108.0,0.737883211,783
2017/10/14,5831.790039,78.0,0.669882398,713
2017/10/15,5678.189941,72.0,0.969338618,708
2017/10/16,5725.589844,72.0,0.522627153,644
2017/10/17,5605.509766,66.0,1.016256834,705
2017/10/18,5590.689941,72.0,0.995634631,718
2017/10/19,5708.52002,66.0,0.833010603,814
2017/10/20,6011.450195,78.0,0.662811137,649
2017/10/21,6031.600098,90.0,0.704744396,845
2017/10/22,6008.419922,72.0,0.328976857,691
2017/10/23,5930.319824,84.0,0.672549334,799
2017/10/24,5526.640137,90.0,0.711543449,734
2017/10/25,5750.799805,78.0,0.779927366,943
2017/10/26,5904.830078,78.0,0.708360703,843
2017/10/27,5780.899902,66.0,1.205941023,848
2017/10/28,5753.089844,60.0,0.866237895,690
2017/10/29,6153.850098,66.0,0.95268634,832
2017/10/30,6130.529785,72.0,0.713668585,682
2017/10/31,6468.399902,90.0,0.659421644,702
2017/11/1,6767.310059,108.0,0.953505032,934
2017/11/2,7078.5,144.0,0.707268778,999
2017/11/3,7207.759766,132.0,0.964655758,986
2017/11/4,7379.950195,102.0,0.942725561,818
2017/11/5,7407.410156,102.0,0.744946143,882
2017/11/6,7022.759766,108.0,0.696628674,851
2017/11/7,7144.379883,96.0,0.523231245,680
2017/11/8,7459.689941,108.0,0.223856951,930
2017/11/9,7143.580078,96.0,0.942527991,874
